New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,14901,,"3,315","1,690",950,220,70,385,"3,500","2,091",242,"1,850"
,14902,,240,75,75,15,0,75,231,93,15,110
,14903,,"1,730","1,140",335,110,55,90,"2,135","1,536",129,"1,180"
,14904,,"3,755","2,100",955,250,95,355,"4,136","2,635",287,"2,215"
,14905,,"2,165","1,515",295,140,65,150,"2,868","2,187",206,"1,570"
Flushing,,,"77,595","57,980","6,345","5,085","5,150","3,035","95,031","75,492","6,414","64,140"
,11351,,280,5,100,0,0,175,240,8,0,50
,11352,,230,160,30,15,15,10,235,181,14,175
,11354,,"9,295","6,955",720,630,700,290,"9,641","7,661",676,"7,785"
,11355,,"11,040","8,235",880,630,925,370,"10,457","8,287",656,"9,015"
,11356,,"3,240","2,170",375,215,205,275,"3,724","2,668",265,"2,400"
,11357,,"9,425","7,150",715,690,545,325,"12,981","10,376",948,"7,960"
,11358,,"6,235","4,765",410,415,445,200,"7,693","6,227",518,"5,240"
,11360,,"5,435","4,330",285,405,285,130,"8,076","6,760",570,"4,830"
,11361,,"4,840","3,655",380,345,280,180,"6,342","5,040",452,"4,030"
,11362,,"3,930","3,125",240,240,230,95,"5,541","4,598",338,"3,440"
,11363,,"1,510","1,185",80,95,100,50,"2,279","1,885",147,"1,315"
,11364,,"6,595","5,000",500,450,410,235,"8,565","6,852",614,"5,500"
,11365,,"7,000","5,030",740,465,430,335,"8,667","6,631",599,"5,525"
,11366,,"2,445","1,885",200,115,165,80,"3,195","2,618",150,"2,045"
,11367,,"6,095","4,330",690,375,415,285,"7,395","5,700",466,"4,830"
Freeport,,,"121,675","86,210","14,520","8,145","5,260","7,540","176,241","133,447","11,818","94,310"
,11096,,"1,205",765,215,70,55,100,"1,359",940,83,830
,11509,,720,575,40,40,40,25,"1,239","1,029",77,635
,11510,,"5,845","4,080",755,375,235,400,"8,505","6,366",529,"4,425"
,11516,,"1,305",985,85,100,85,50,"1,936","1,555",154,"1,130"
,11518,,"2,115","1,495",265,155,80,120,"3,136","2,329",227,"1,630"
,11520,,"7,580","5,020","1,295",395,285,585,"9,793","7,091",520,"5,345"
,11550,,"7,580","4,965","1,390",410,190,625,"9,198","6,583",480,"5,175"
,11551,,680,170,360,15,0,135,669,212,12,185
,11552,,"4,420","3,165",505,290,220,240,"6,372","4,862",414,"3,465"
,11553,,"3,905","2,725",585,195,115,285,"4,790","3,606",223,"2,850"
,11557,,"1,675","1,300",85,100,120,70,"2,734","2,260",162,"1,460"
,11558,,"1,765","1,195",260,120,55,135,"2,495","1,812",170,"1,320"
,11559,,"1,595","1,170",90,145,145,45,"2,612","2,076",242,"1,425"
,11561,,"7,580","5,480",925,545,255,375,"11,336","8,684",794,"5,925"
,11563,,"4,490","3,245",485,330,190,240,"6,557","5,021",467,"3,555"
,11565,,"1,975","1,515",155,125,95,85,"3,118","2,496",198,"1,650"
,11566,,"6,665","4,900",620,425,340,380,"10,369","8,096",635,"5,375"
,11569,,415,330,20,40,10,15,704,575,62,365
,11570,,"5,395","4,030",455,390,245,275,"8,413","6,697",614,"4,485"
,11571,,70,45,15,5,0,5,91,67,5,50
,11572,,"6,500","4,700",675,460,275,390,"9,795","7,494",679,"5,155"
,11575,,"2,470","1,590",415,100,55,310,"3,077","2,177",130,"1,665"
,11580,,"6,555","4,640",765,485,315,350,"8,884","6,649",665,"5,085"
,11581,,"3,620","2,675",350,225,180,190,"5,328","4,202",330,"2,915"
,11582,,100,55,25,0,5,15,119,74,0,55
,11598,,"2,200","1,695",135,125,160,85,"3,620","2,968",220,"1,920"
,11710,,"6,510","4,630",720,470,280,410,"9,668","7,314",690,"5,070"
,11758,,"11,445","8,170","1,220",875,560,620,"17,053","12,822","1,307","9,100"
,11762,,"4,670","3,340",455,345,225,305,"7,066","5,342",525,"3,725"
,11783,,"4,265","3,050",490,315,170,240,"6,500","4,814",470,"3,365"
,11793,,"6,360","4,510",665,475,275,435,"9,705","7,234",733,"4,975"
Geneva,,,"63,290","43,880","9,240","3,475","1,790","4,905","80,288","60,580","4,525","45,235"
,13026,,320,270,15,10,10,15,429,377,17,265
,13034,,430,310,50,20,15,35,545,427,28,315
,13065,,35,30,5,0,0,0,44,37,0,30
,13071,,200,140,35,10,5,10,250,181,13,140
,13081,,235,190,10,15,5,15,318,267,20,190
,13117,,60,45,10,5,0,0,75,57,3,40
,13140,,950,615,170,55,35,75,"1,122",789,62,645
,13146,,520,340,100,20,20,40,608,437,24,340
,13147,,245,165,30,20,15,15,294,207,24,170
,13148,,"2,555","1,745",455,135,50,170,"3,173","2,373",170,"1,740"
,13154,,40,30,5,0,0,5,44,34,0,30
,13160,,520,385,60,35,15,25,657,514,44,400
,13165,,"2,795","1,815",500,170,60,250,"3,281","2,314",211,"1,885"
,14413,,90,55,20,5,0,10,96,65,6,60
,14415,,40,25,5,0,5,5,39,30,0,25
,14418,,355,265,50,5,10,25,425,345,6,250
,14424,,"7,100","5,115",945,410,195,435,"9,420","7,331",549,"5,295"
,14425,,"2,035","1,400",320,105,45,165,"2,674","1,996",151,"1,415"
,14432,,"1,325",900,225,85,30,85,"1,644","1,192",113,940
,14433,,"1,000",630,195,55,25,95,"1,176",814,65,645
,14441,,110,80,10,5,5,10,137,111,5,90
,14443,,30,25,5,0,0,0,40,35,0,25
,14449,,30,15,10,0,0,5,30,19,0,20
,14453,,60,45,5,5,5,0,91,78,6,50
,14456,,"4,440","2,955",710,265,110,400,"5,312","3,925",338,"3,085"
,14461,,70,50,10,0,0,10,75,60,0,50
,14463,,65,45,10,0,5,5,78,62,0,50
,14469,,"1,380","1,000",185,65,55,75,"1,831","1,427",96,"1,025"
,14471,,905,670,140,35,30,30,"1,233",967,48,660
,14475,,110,85,10,0,5,10,151,126,0,85
,14478,,245,210,15,5,10,5,327,287,9,205
,14489,,"1,935","1,255",365,110,45,160,"2,260","1,630",131,"1,275"
,14502,,"2,135","1,515",290,115,70,145,"2,882","2,220",160,"1,540"
,14504,,410,285,60,35,10,20,514,374,50,300
,14505,,"1,135",850,150,60,30,45,"1,514","1,195",81,850
,14507,,340,250,45,20,10,15,432,338,26,255
,14512,,"1,320",905,190,70,55,100,"1,620","1,215",91,930
,14513,,"4,360","2,300",675,175,70,"1,140","5,015","3,043",208,"2,570"
,14516,,610,420,90,35,30,35,765,581,41,440
,14518,,20,10,10,0,0,0,27,13,0,15
,14519,,"2,520","1,845",305,135,95,140,"3,475","2,712",196,"1,880"
,14520,,15,15,0,0,0,0,24,23,0,15
,14521,,645,445,105,35,10,50,757,577,36,435
,14522,,"2,105","1,425",335,130,75,140,"2,708","2,017",175,"1,495"
,14527,,"3,315","2,370",455,220,90,180,"4,121","3,182",276,"2,475"
,14532,,"1,030",740,150,50,25,65,"1,291","1,008",63,740
,14537,,65,45,10,5,0,5,80,64,5,50
,14538,,75,65,0,5,5,0,117,109,3,65
,14541,,490,360,60,35,15,20,640,506,40,370
,14542,,75,50,15,5,5,0,91,68,4,45
,14544,,450,300,70,30,15,35,545,400,37,320
,14547,,70,50,10,5,0,5,83,65,2,45
,14548,,930,650,165,45,20,50,"1,161",886,52,650
,14551,,"1,265",850,235,75,20,85,"1,543","1,128",94,835
,14555,,355,275,45,15,10,10,500,404,20,265
,14561,,505,360,70,30,20,25,631,479,36,365
,14564,,"3,240","2,610",195,175,150,110,"4,724","3,967",269,"2,750"
,14568,,"1,050",770,135,55,35,55,"1,492","1,154",83,780
,14585,,115,80,20,10,0,5,140,108,9,85
,14588,,45,40,5,0,0,0,61,52,0,35
,14589,,"1,855","1,325",290,85,60,95,"2,457","1,889",117,"1,360"
,14837,,"1,220",850,190,80,30,70,"1,426","1,092",90,880
,14842,,195,145,20,15,5,10,253,207,18,150
,14847,,615,435,90,40,10,40,722,553,46,450
,14857,,35,20,5,5,0,5,40,28,5,25
,14860,,260,185,40,15,5,15,314,231,18,190
,14878,,190,135,30,15,5,5,244,178,19,140
Gloversville,,,"20,940","13,705","3,640","1,280",550,"1,765","24,537","17,657","1,553","14,125"
,12025,,"1,325",900,225,85,30,85,"1,667","1,216",105,900
,12032,,350,265,50,15,5,15,449,362,20,270
,12068,,725,450,135,45,20,75,827,566,60,465
,12069,,50,40,5,5,0,0,61,48,5,40
,12072,,590,395,90,35,15,55,690,505,43,395
,12078,,"6,435","3,740","1,345",380,145,825,"7,159","4,736",444,"3,945"
,12095,,"3,105","2,075",540,215,60,215,"3,727","2,698",270,"2,135"
,12108,,175,145,10,10,5,5,226,196,9,145
,12117,,845,590,140,45,30,40,"1,035",780,57,595
,12134,,"1,165",825,170,70,40,60,"1,447","1,101",87,845
,12139,,95,80,5,5,0,5,127,108,5,75
,12164,,200,150,15,10,10,15,250,208,11,155
,12166,,340,235,55,20,10,20,401,298,21,245
,12177,,230,180,25,10,10,5,314,258,11,180
,12190,,250,195,30,15,5,5,327,262,18,185
,12812,,60,50,5,5,0,0,81,69,7,55
,12842,,405,320,30,25,15,15,514,430,32,325
,12847,,245,190,20,15,10,10,324,268,18,195
,12864,,20,20,0,0,0,0,30,27,0,20
,13317,,870,570,135,55,35,75,997,720,66,595
,13339,,"1,460",940,270,85,55,110,"1,611","1,159",102,985
,13353,,35,25,5,0,5,0,41,32,0,25
,13410,,140,90,25,10,0,15,153,106,7,90
,13428,,420,300,55,40,10,15,488,369,47,320
,13436,,45,40,0,5,0,0,57,50,5,40
,13452,,"1,160",765,210,70,25,90,"1,305",932,90,775
,13470,,200,130,45,5,10,10,229,153,9,125
Hudson,,,"27,125","18,610","4,090","1,690",815,"1,920","34,411","25,580","2,188","19,650"
,12015,,905,650,115,60,25,55,"1,189",916,78,675
,12017,,100,70,10,5,5,10,130,100,7,80
,12029,,235,190,20,15,5,5,348,293,19,195
,12037,,990,715,115,65,35,60,"1,276",993,80,770
,12042,,110,80,10,10,5,5,139,106,10,85
,12050,,65,40,10,5,5,5,79,54,7,40
,12051,,750,475,150,45,20,60,958,667,61,505
,12058,,345,215,60,25,10,35,422,289,31,225
,12060,,325,250,25,20,15,15,445,367,25,265
,12075,,765,565,75,60,25,40,996,777,76,605
,12083,,960,675,115,65,30,75,"1,222",928,90,710
,12087,,300,205,45,20,10,20,379,284,22,215
,12106,,660,520,55,45,20,20,962,800,62,550
,12124,,140,115,10,5,5,5,193,161,10,110
,12125,,335,235,40,20,15,25,440,335,23,245
,12136,,255,215,20,15,0,5,398,345,23,220
,12165,,150,125,5,5,5,10,222,195,12,140
,12172,,165,85,50,10,5,15,186,106,13,90
,12173,,380,260,65,20,15,20,500,369,21,275
,12174,,100,70,15,5,0,10,123,91,10,65
,12176,,50,35,5,5,0,5,75,53,5,30
,12184,,"1,510","1,145",155,80,55,75,"2,062","1,662",109,"1,185"
,12192,,460,325,55,45,10,25,590,432,58,365
,12405,,180,120,30,15,10,5,232,165,17,140
,12407,,65,50,5,5,0,5,82,69,3,50
,12413,,825,480,180,60,20,85,945,605,77,520
,12414,,"2,650","1,615",565,170,70,230,"3,199","2,168",214,"1,720"
,12418,,140,90,25,10,5,10,184,123,14,95
,12422,,85,65,15,0,0,5,109,88,0,60
,12423,,305,210,50,15,10,20,393,284,24,220
,12424,,90,70,10,5,0,5,115,95,7,70
,12427,,65,50,5,5,5,0,84,67,7,50
,12431,,380,255,65,25,5,30,485,344,32,260
,12436,,130,95,15,5,5,10,150,121,6,95
,12439,,100,65,25,5,0,5,123,85,8,70
,12442,,295,200,50,20,5,20,379,273,29,210
,12444,,95,65,10,5,5,10,121,92,7,75
,12450,,60,40,10,10,0,0,72,51,8,45
,12451,,455,295,80,25,20,35,560,395,35,315
,12452,,90,70,5,10,5,0,123,99,12,75
,12454,,75,60,5,5,5,0,104,86,5,60
,12460,,95,70,10,5,5,5,109,86,4,70
,12463,,360,245,70,20,10,15,468,336,21,250
,12468,,315,215,35,30,15,20,367,272,35,235
,12470,,125,75,25,5,5,15,153,102,11,85
,12473,,235,160,35,20,5,15,294,208,25,170
,12482,,275,170,65,15,10,15,323,213,22,185
,12485,,220,160,25,10,10,15,275,214,13,170
,12492,,100,70,15,10,0,5,131,97,8,75
,12496,,430,320,40,30,15,25,548,421,36,335
,12502,,290,210,30,20,10,20,384,306,24,220
,12503,,185,125,30,10,5,15,248,191,14,135
,12513,,365,290,35,20,10,10,517,426,30,305
,12516,,510,325,50,20,10,105,664,453,28,350
,12517,,105,70,20,5,5,5,141,101,10,75
,12521,,390,290,60,20,10,10,517,409,25,290
,12523,,465,335,75,15,15,25,612,479,19,340
,12526,,990,760,80,55,35,60,"1,185",946,75,795
,12529,,625,455,75,35,25,35,867,699,45,495
,12530,,30,25,0,0,5,0,35,29,0,25
,12534,,"4,110","2,665",785,250,100,310,"4,949","3,536",321,"2,795"
,12541,,125,85,20,10,5,5,145,107,15,95
,12544,,135,50,30,0,0,55,129,56,0,60
,12565,,505,285,105,40,15,60,556,360,43,320
Ithaca,,,"15,985","11,490","2,050",875,595,975,"21,414","16,814","1,197","12,065"
,13053,,935,685,120,60,30,40,"1,216",968,80,715
,13062,,50,40,5,5,0,0,65,51,5,35
,13068,,980,665,165,50,30,70,"1,236",915,67,670
,13073,,"1,300",905,180,80,40,95,"1,617","1,214",96,945
,13102,,75,55,15,0,0,5,93,71,0,50
,14817,,465,325,75,20,25,20,593,452,25,340
,14850,,"8,190","5,880",965,470,375,500,"11,508","9,116",681,"6,375"
,14851,,130,90,25,10,0,5,162,123,12,90
,14852,,95,60,15,5,5,10,121,91,6,60
,14854,,70,55,10,0,5,0,85,72,0,50
,14867,,"1,240",845,220,65,25,85,"1,527","1,131",78,860
,14881,,85,50,20,5,0,10,95,67,4,50
,14882,,825,655,80,30,20,40,"1,103",925,41,655
,14886,,"1,545","1,180",155,75,40,95,"1,993","1,618",97,"1,170"
Jamaica,,,"77,395","55,295","9,960","4,055","3,000","5,085","96,590","74,257","4,965","58,845"
,11004,,"2,685","2,015",275,170,120,105,"3,733","2,944",225,"2,180"
,11005,,"1,735","1,430",25,220,60,0,"3,207","2,692",410,"1,700"
,11411,,"3,920","3,135",370,150,85,180,"5,432","4,572",184,"3,225"
,11412,,"5,560","3,925",770,305,130,430,"6,862","5,166",354,"4,130"
,11413,,"6,620","4,935",795,260,165,465,"8,780","6,999",327,"5,055"
,11415,,"2,660","1,980",295,145,150,90,"3,567","2,846",195,"2,150"
,11422,,"4,190","2,960",595,185,145,305,"5,458","4,148",229,"3,075"
,11423,,"4,455","3,155",535,245,245,275,"5,164","4,004",275,"3,415"
,11425,,15,10,5,0,0,0,17,11,0,10
,11426,,"3,000","2,190",310,205,155,140,"4,091","3,149",282,"2,405"
,11427,,"4,005","2,930",470,185,220,200,"5,140","4,061",229,"3,165"
,11428,,"3,000","1,980",385,140,170,325,"3,540","2,568",163,"2,175"
,11429,,"3,980","2,940",465,165,110,300,"4,904","3,853",198,"3,040"
,11430,,55,30,15,0,5,5,66,41,0,35
,11431,,345,215,75,20,10,25,368,253,19,230
,11432,,"7,745","5,550",920,420,455,400,"8,964","6,959",478,"6,070"
,11433,,"4,345","2,785",760,285,115,400,"4,636","3,196",298,"2,980"
,11434,,"10,195","7,125","1,525",500,245,800,"12,734","9,534",605,"7,375"
,11435,,"6,545","4,470",975,325,350,425,"7,210","5,333",347,"4,825"
,11436,,"2,340","1,535",395,130,65,215,"2,717","1,928",143,"1,605"
Jamestown,,,"20,360","13,580","3,330","1,340",645,"1,465","24,334","17,917","1,646","14,290"
,14701,,"9,760","6,125","1,855",665,280,835,"11,332","8,014",783,"6,510"
,14702,,215,105,60,10,5,35,228,133,14,115
,14710,,980,725,125,55,35,40,"1,237",980,66,740
,14712,,940,720,100,45,25,50,"1,237",999,58,720
,14720,,215,120,70,10,5,10,247,155,12,125
,14722,,135,115,0,10,10,0,193,168,15,125
,14723,,285,200,40,15,5,25,329,253,22,195
,14724,,445,325,40,25,25,30,529,414,35,350
,14728,,275,200,25,20,10,20,332,261,26,200
,14732,,85,60,10,5,5,5,95,73,6,60
,14733,,"1,050",710,165,70,35,70,"1,263",928,92,740
,14736,,130,105,15,0,5,5,170,145,0,110
,14738,,935,650,130,65,30,60,"1,167",880,84,685
,14740,,400,300,40,40,10,10,497,389,55,330
,14742,,140,110,10,15,0,5,177,141,15,125
,14747,,540,335,120,30,20,35,621,430,32,355
,14750,,"1,275",980,125,95,30,45,"1,722","1,389",134,"1,010"
,14756,,45,35,5,0,5,0,61,54,0,35
,14757,,"1,000",660,150,70,30,90,"1,162",857,83,690
,14767,,410,275,60,25,20,30,476,347,27,295
,14781,,450,315,70,25,15,25,497,376,29,320
,14782,,585,355,110,45,40,35,672,455,51,400
,14785,,65,55,5,0,0,5,90,76,0,55
Long Island City,,,"50,430","35,720","5,940","3,450","3,000","2,320","57,061","43,205","3,916","39,645"
,11101,,"3,190","2,015",595,195,175,210,"3,206","2,217",204,"2,195"
,11102,,"4,230","2,785",610,310,245,280,"4,578","3,295",319,"3,145"
,11103,,"4,200","2,930",505,320,295,150,"4,821","3,554",379,"3,330"
,11104,,"3,530","2,675",360,200,175,120,"4,240","3,401",220,"2,910"
,11105,,"5,360","3,860",525,420,340,215,"6,189","4,775",472,"4,360"
,11106,,"5,575","3,925",665,385,305,295,"6,186","4,672",418,"4,390"
,11109,,210,165,15,10,10,10,337,274,12,175
,11222,,"4,215","2,925",550,330,260,150,"4,550","3,315",373,"3,305"
,11370,,"3,825","2,745",405,240,240,195,"4,374","3,366",273,"3,060"
,11377,,"10,825","7,945","1,085",660,670,465,"12,012","9,426",748,"8,650"
,11378,,"5,270","3,750",625,380,285,230,"6,568","4,910",498,"4,125"
Melville,,,"77,860","54,895","8,735","5,020","3,845","5,365","113,445","86,229","7,407","60,940"
,11717,,"7,495","4,570","1,530",390,285,720,"8,239","5,414",458,"4,940"
,11721,,"1,205",915,100,80,65,45,"1,970","1,576",124,"1,020"
,11724,,475,360,20,20,45,30,801,651,41,415
,11725,,"6,330","4,275",540,375,295,845,"9,280","6,849",571,"4,865"
,11729,,"5,500","3,715",790,405,225,365,"7,537","5,429",567,"4,145"
,11731,,"5,845","4,280",555,385,290,335,"8,759","6,794",580,"4,730"
,11735,,"6,160","4,270",775,475,275,365,"8,838","6,493",688,"4,720"
,11740,,"1,995","1,495",180,170,85,65,"2,900","2,298",241,"1,685"
,11743,,"8,250","6,160",645,565,510,370,"13,136","10,484",896,"6,855"
,11746,,"10,870","7,780","1,180",675,615,620,"16,154","12,537","1,002","8,670"
,11747,,"5,220","4,075",285,360,295,205,"8,334","6,858",577,"4,600"
,11754,,"4,050","2,885",470,290,155,250,"6,067","4,555",444,"3,165"
,11768,,"4,660","3,545",325,275,265,250,"7,508","6,073",432,"3,900"
,11787,,"7,465","5,290",780,445,395,555,"11,170","8,470",664,"5,895"
,11798,,"2,340","1,280",560,110,45,345,"2,752","1,748",122,"1,335"
Mineola,,,"129,535","95,300","11,205","8,880","7,290","6,860","195,095","153,392","13,434","106,485"
,11001,,"4,855","3,605",440,310,250,250,"7,096","5,584",437,"3,915"
,11002,,55,35,20,0,0,0,77,54,0,35
,11003,,"6,320","4,360",855,375,320,410,"8,164","6,034",490,"4,730"
,11010,,"5,270","3,670",590,415,300,295,"7,393","5,458",588,"4,140"
,11020,,"1,075",835,65,70,75,30,"1,745","1,440",123,955
,11021,,"3,905","3,055",185,295,260,110,"6,371","5,294",473,"3,515"
,11022,,60,35,10,5,5,5,81,56,7,45
,11023,,"1,630","1,250",70,105,145,60,"2,543","2,116",162,"1,465"
,11024,,"1,210",890,40,95,145,40,"1,865","1,509",156,"1,090"
,11030,,"3,470","2,700",105,230,305,130,"5,985","4,958",420,"3,155"
,11040,,"8,590","6,550",605,610,515,310,"12,578","10,103",870,"7,265"
,11042,,20,15,0,5,0,0,40,34,4,20
,11050,,"5,660","4,480",285,365,360,170,"9,282","7,759",599,"5,060"
,11501,,"3,820","2,750",395,245,160,270,"5,468","4,181",348,"2,995"
,11507,,"1,550","1,160",100,110,105,75,"2,335","1,881",156,"1,305"
,11514,,865,635,90,60,45,35,"1,275",994,82,695
,11530,,"5,405","4,075",325,385,360,260,"9,020","7,229",649,"4,670"
,11531,,20,15,5,0,0,0,29,23,0,15
,11542,,"5,390","3,855",590,390,255,300,"7,601","5,881",586,"4,295"
,11545,,"3,000","1,810",295,145,140,610,"4,510","3,210",244,"2,085"
,11547,,190,140,20,10,10,10,291,233,15,160
,11548,,220,165,15,15,10,15,337,274,20,180
,11554,,"8,260","6,005",795,640,370,450,"12,141","9,327",925,"6,655"
,11560,,"1,210",890,70,105,80,65,"1,939","1,532",168,"1,030"
,11568,,600,470,15,30,60,25,"1,067",905,54,545
,11576,,"2,700","2,145",75,185,220,75,"4,706","3,968",335,"2,475"
,11577,,"2,120","1,615",160,110,155,80,"3,407","2,788",177,"1,835"
,11579,,930,705,70,60,40,55,"1,482","1,189",96,770
,11590,,"8,395","6,220",870,525,370,410,"12,027","9,524",762,"6,725"
,11596,,"2,030","1,580",140,135,90,85,"3,158","2,566",209,"1,720"
,11709,,"1,455","1,060",140,95,75,85,"2,218","1,753",134,"1,175"
,11714,,"5,565","3,795",690,420,240,420,"7,823","5,707",610,"4,275"
,11732,,870,665,70,50,50,35,"1,393","1,126",70,740
,11753,,"2,165","1,745",105,120,130,65,"3,630","3,076",202,"1,930"
,11756,,"7,860","5,305","1,095",585,360,515,"11,356","8,138",853,"5,800"
,11765,,145,115,5,10,10,5,254,205,22,130
,11771,,"1,920","1,425",125,155,120,95,"3,139","2,501",256,"1,625"
,11791,,"4,215","3,205",255,260,285,210,"6,713","5,458",399,"3,610"
,11797,,"2,180","1,630",110,190,100,150,"3,459","2,758",291,"1,885"
,11801,,"7,355","5,325",760,500,410,360,"10,228","7,827",717,"5,845"
,11802,,90,55,30,0,0,5,128,77,0,50
,11803,,"5,795","4,425",425,390,305,250,"9,049","7,308",601,"4,945"
,11804,,"1,095",835,95,75,55,35,"1,692","1,354",120,930
Monticello,,,"17,775","11,395","3,085","1,070",550,"1,675","21,809","15,377","1,317","12,045"
,12701,,"2,480","1,380",565,145,65,325,"2,734","1,742",171,"1,500"
,12719,,240,160,25,15,15,25,308,225,21,170
,12720,,85,55,10,10,0,10,108,78,10,60
,12721,,"1,100",625,245,70,30,130,"1,417",910,91,655
,12722,,80,50,15,5,0,10,110,77,7,55
,12723,,430,320,40,35,20,15,546,426,45,350
,12724,,105,75,5,10,5,10,134,106,13,85
,12725,,60,50,5,0,5,0,78,67,0,50
,12726,,290,215,35,15,10,15,368,282,17,215
,12732,,215,150,30,20,5,10,269,199,22,165
,12733,,75,40,15,10,5,5,81,53,8,50
,12734,,245,155,50,15,5,20,298,204,17,160
,12736,,30,25,5,0,0,0,40,33,0,25
,12737,,375,230,65,30,10,40,488,338,38,260
,12738,,55,40,10,0,0,5,72,57,0,40
,12740,,490,355,55,30,25,25,624,482,45,375
,12741,,75,60,10,5,0,0,102,78,8,60
,12742,,215,60,25,10,5,115,215,78,10,75
,12743,,80,55,10,0,5,10,109,83,0,55
,12745,,50,35,5,5,0,5,63,50,4,40
,12747,,350,225,60,15,10,40,417,297,19,230
,12748,,480,355,65,25,10,25,608,475,26,365
,12749,,115,80,15,10,5,5,138,100,13,95
,12750,,50,35,10,0,5,0,70,51,0,40
,12751,,175,130,25,5,5,10,202,161,2,125
,12752,,70,45,15,0,0,10,92,61,0,45
,12754,,"1,575",955,335,85,40,160,"1,805","1,232",97,990
,12758,,985,670,155,65,35,60,"1,230",900,81,700
,12759,,460,150,95,20,10,185,459,181,22,190
,12760,,130,90,20,10,5,5,169,125,12,95
,12762,,140,85,25,15,5,10,167,111,18,95
,12763,,205,145,30,10,5,15,262,196,9,145
,12764,,520,360,90,20,15,35,641,467,26,375
,12765,,195,125,30,15,10,15,238,168,18,140
,12766,,90,55,15,5,5,10,101,69,7,65
,12767,,25,20,0,0,5,0,33,29,0,25
,12768,,255,180,40,15,10,10,327,244,16,185
,12769,,55,40,10,5,0,0,74,57,6,35
,12770,,45,35,5,5,0,0,57,46,5,40
,12775,,540,385,70,30,20,35,723,565,34,400
,12776,,560,420,60,40,15,25,709,561,50,440
,12777,,195,150,20,10,10,5,286,231,14,150
,12778,,220,155,40,10,5,10,294,223,16,160
,12779,,340,225,65,20,5,25,388,283,20,235
,12781,,65,45,15,5,0,0,90,68,3,45
,12783,,350,230,60,25,15,20,433,309,30,240
,12784,,40,25,10,5,0,0,51,33,6,25
,12785,,250,155,50,15,10,20,329,230,23,170
,12786,,185,140,25,10,0,10,256,205,14,130
,12787,,135,85,25,10,5,10,159,111,9,95
,12788,,410,265,70,30,10,35,518,366,38,270
,12789,,345,215,70,20,10,30,406,286,24,225
,12790,,"1,135",765,195,65,45,65,"1,495","1,067",91,805
,12791,,195,145,25,15,5,5,268,206,17,155
,12792,,115,75,20,5,5,10,150,95,10,75
New Rochelle,,,"46,695","34,215","4,790","2,865","2,220","2,605","67,414","53,321","4,157","37,690"
,10528,,"2,105","1,550",185,145,125,100,"3,261","2,561",215,"1,750"
,10538,,"2,585","2,030",130,150,170,105,"4,502","3,763",258,"2,295"
,10543,,"3,330","2,450",315,220,175,170,"4,941","3,941",333,"2,730"
,10550,,"5,295","3,415",995,255,140,490,"6,030","4,266",292,"3,605"
,10551,,215,140,45,5,5,20,241,175,6,150
,10552,,"3,945","2,955",455,210,130,195,"5,688","4,547",287,"3,150"
,10553,,"1,715","1,200",255,65,35,160,"2,250","1,743",69,"1,240"
,10573,,"5,680","4,280",495,375,295,235,"8,024","6,470",528,"4,745"
,10577,,525,385,15,20,50,55,909,754,35,455
,10580,,"2,765","2,120",75,255,200,115,"4,695","3,821",457,"2,525"
,10707,,"1,790","1,390",145,120,70,65,"2,759","2,248",174,"1,505"
,10709,,"2,030","1,590",125,135,100,80,"3,148","2,569",217,"1,765"
,10801,,"6,205","4,250",895,370,280,410,"7,784","5,814",460,"4,640"
,10802,,155,100,30,10,5,10,205,143,10,110
,10803,,"1,845","1,355",130,120,115,125,"2,959","2,328",196,"1,525"
,10804,,"3,025","2,445",105,175,200,100,"5,206","4,438",292,"2,720"
,10805,,"3,485","2,560",395,235,125,170,"4,812","3,740",328,"2,780"
"New York City, Downtown",,,"37,075","28,185","3,510","1,605","1,360","2,415","51,998","42,765","2,089","30,195"
,10003,,"6,220","5,220",405,230,225,140,"9,848","8,647",334,"5,485"
,10004,,620,165,145,5,15,290,697,297,11,240
,10005,,210,130,50,5,10,15,318,227,11,145
,10006,,85,65,10,0,5,5,140,114,0,65
,10007,,555,370,65,40,25,55,757,559,50,425
,10008,,105,80,15,5,0,5,155,122,7,85
,10010,,"4,155","3,475",295,165,140,80,"6,798","5,943",258,"3,670"
,10011,,"7,145","5,525",755,285,235,345,"11,059","9,200",408,"5,875"
,10012,,"2,830","2,305",170,130,140,85,"3,940","3,396",162,"2,505"
,10013,,"3,850","3,110",215,200,200,125,"4,073","3,436",206,"3,315"
,10014,,"4,120","3,435",315,145,115,110,"6,577","5,689",211,"3,605"
,10038,,"4,400","2,620",470,240,185,885,"4,127","2,805",232,"2,900"
,10113,,95,65,20,0,5,5,120,86,0,60
,10159,,120,80,25,10,0,5,150,103,9,85
,10268,,20,15,5,0,0,0,26,20,0,15
,10272,,245,50,40,0,0,155,228,63,0,75
,10274,,45,40,5,0,0,0,71,62,0,35
