award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_name,recipient_parent_duns,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,last_modified_date
P047A170191,1,,,257500.00,0.00,257500.0,0.00,,,,2017-05-30,2017-09-01,2018-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,091,"EDUCATION, DEPARTMENT OF (9100)",,,,,055961718,MOHAWK VALLEY COMMUNITY COLLEGE,"NEW YORK, STATE OF",041002973,USA,UNITED STATES,1101 SHERMAN DRIVE,,,UTICA,065,ONEIDA,NY,NEW YORK,13501,5308,22,,,,USA,UNITED STATES,NY76540,UTICA,065,ONEIDA,NEW YORK,135015308,22,,84.047,TRIO_UPWARD BOUND,04,,MOHAWK VALLEY UPWARD BOUND,NON,,05,,,,A,,2,,2017-06-07 00:00:00
U422B170039,1,,,1780053.00,0.00,1780053,,,,,2017-09-28,2017-10-01,2020-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,008544652,GILDER LEHRMAN INSTITUTE OF AMERICAN HISTORY,,,USA,UNITED STATES,49 W 45TH ST FL 6,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10036,4603,12,,,,USA,UNITED STATES,NY51000,NEW YORK,061,NEW YORK,NEW YORK,10036-4603,12,,84.422,AMERICAN HISTORY AND CIVICS EDUCATION,04,,A MORE PERFECT UNION,NON,,M,,,,A,,2,,2018-03-12 17:41:50.32845
P217A170205,1,,,239439.00,0.00,239439,,,,,2017-09-29,2017-10-01,2018-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,002255792,ST. LAWRENCE UNIVERSITY,ST. LAWRENCE UNIVERSITY,002255792,USA,UNITED STATES,23 ROMODA DR,,12331,CANTON,089,ST. LAWRENCE,NY,NEW YORK,13617,1423,21,,,,USA,UNITED STATES,NY12331,CANTON,089,ST. LAWRENCE,NEW YORK,13617-1423,21,,84.217,TRIO MCNAIR POST-BACCALAUREATE ACHIEVEMENT,04,,RONALD E. MCNAIR POSTBACCALAUREATE ACHIEVEMENT PROGRAM,NON,,O,,,,A,,2,,2018-03-12 17:42:38.53278
P335A170162,1,,,178260,0,178260,,,,,2017-09-28,2017-10-01,2018-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,620129135,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"CITY UNIVERSITY OF NEW YORK, THE",073268849,USA,UNITED STATES,1150 CARROLL ST,,10021,BROOKLYN                    ,047,KINGS,NY,NEW YORK,11225,2201,09,,,,USA,UNITED STATES,NY10022,BROOKLYN                    ,047,KINGS,NEW YORK,11225-2201,09,,84.335,CHILD CARE ACCESS MEANS PARENTS IN SCHOOL,04,,THE ELLA BAKER/ CHARLES ROMAIN CHILD DEVELOPMENT CENTER AT MEDGAR EVERS COLLEGE PRESCHOOL EXPANSION PROJECT,NON,,H,,C,,A,,2,,2017-10-27 20:39:59.660404
P335A170132,1,,,324558,383462,708020,,,,,2017-09-28,2017-10-01,2018-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,137840018,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"CITY UNIVERSITY OF NEW YORK, THE",073268849,USA,UNITED STATES,199 CHAMBERS ST,,51000,NEW YORK                    ,061,NEW YORK,NY,NEW YORK,10007,1044,10,,,,USA,UNITED STATES,NY51000,NEW YORK                    ,061,NEW YORK,NEW YORK,10007-1044,10,,84.335,CHILD CARE ACCESS MEANS PARENTS IN SCHOOL,04,,"BMCC'S CCAMPIS GRANT WILL EXPAND SERVICES TO STUDENT-PARENTS BY SUPPORTING OPERATIONAL COSTS FOR FOUR(4) CLASSROOM, A FAMILY RESOURCE COORDINATOR AND ONGOING STAFF DEVELOPMENT ACTIVITIES",NON,,H,,C,,A,,2,,2017-10-27 20:42:11.702443
P047A170604,2,,,9705.00,0.00,9705,,,,,2017-09-28,2017-09-01,2018-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,053723094,LE MOYNE COLLEGE,,,USA,UNITED STATES,1419 SALT SPRINGS RD,,73000,SYRACUSE,067,ONONDAGA,NY,NEW YORK,13214,1302,24,,,,USA,UNITED STATES,NY73000,SYRACUSE,067,ONONDAGA,NEW YORK,13214-1302,24,,84.047,TRIO UPWARD BOUND,04,,LE MOYNE COLLEGE UPWARD BOUND PROGRAM,NON,,H,,,,C,,2,,2018-03-12 17:42:53.512212
P217A170214,1,,,226986,20608,247594,,,,,2017-09-13,2017-10-01,2018-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,073134744,"ST JOHN'S UNIVERSITY, NEW YORK","ST JOHN'S UNIVERSITY, NEW YORK",073134744,USA,UNITED STATES,8000 UTOPIA PWY,,38231,JAMAICA                     ,081,QUEENS,NY,NEW YORK,11439,9000,06,,,,USA,UNITED STATES,NY38231,JAMAICA                     ,081,QUEENS,NEW YORK,11439-9000,06,,84.217,TRIO MCNAIR POST-BACCALAUREATE ACHIEVEMENT,04,,RONALD E. MCNAIR  PROGRAM,NON,,H,,,,A,,2,,2017-10-19 18:52:51.432071
S184G140428,4,,,218975.00,0.00,218975.0,0.00,,,,2017-08-18,2017-10-01,2018-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,091,"EDUCATION, DEPARTMENT OF (9100)",,,,,800499589,CLEVELAND HILL UNION FREE SCHOOL DISTRICT #3 AT CHEEKTOWAGA,,074025230,USA,UNITED STATES,105 MAPLEVIEW RD,,,BUFFALO,029,ERIE,NY,NEW YORK,14225,1524,26,,,,USA,UNITED STATES,NY15011,BUFFALO,029,ERIE,NEW YORK,142251524,26,,84.184,SAFE AND DRUG-FREE SCHOOLS AND COMMUNITIES_NATIONAL PROGRAMS,04,,SCHOOL CLIMATE PROGRAM,NON,,05,,,,A,,2,,2017-09-06 00:00:00
P047A170363,2,,,16438.00,0.00,16438,,,,,2017-09-28,2017-07-01,2018-06-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,020671178,MARIST COLLEGE,MARIST COLLEGE,020671178,USA,UNITED STATES,3399 NORTH RD,,59641,POUGHKEEPSIE,027,DUTCHESS,NY,NEW YORK,12601,1350,18,,,,USA,UNITED STATES,NY59641,POUGHKEEPSIE,027,DUTCHESS,NEW YORK,12601-1350,18,,84.047,TRIO UPWARD BOUND,04,,MARIST COLLEGE UPWARD BOUND PROGRAM,NON,,O,,,,C,,2,,2018-03-12 17:42:03.556192
P047A170604,1,,,388193.00,0.00,388193.0,0.00,,,,2017-05-30,2017-09-01,2018-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,091,"EDUCATION, DEPARTMENT OF (9100)",,,,,053723094,LE MOYNE COLLEGE,,,USA,UNITED STATES,1419 SALT SPRINGS RD,,,SYRACUSE,067,ONONDAGA,NY,NEW YORK,13214,1302,24,,,,USA,UNITED STATES,NY73000,SYRACUSE,067,ONONDAGA,NEW YORK,132141302,24,,84.047,TRIO_UPWARD BOUND,04,,LE MOYNE COLLEGE UPWARD BOUND PROGRAM,NON,,06,,,,A,,2,,2017-06-07 00:00:00
P047A170689,2,,,6953.00,0.00,6953,,,,,2017-09-28,2017-09-01,2018-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,067921585,MONROE COMMUNITY COLLEGE,"NEW YORK, STATE OF",041002973,USA,UNITED STATES,1000 E HENRIETTA RD,,63000,ROCHESTER,055,MONROE,NY,NEW YORK,14623,5780,25,,,,USA,UNITED STATES,NY63000,ROCHESTER,055,MONROE,NEW YORK,14623-5780,25,,84.047,TRIO UPWARD BOUND,04,,UPWARD BOUND AT MONROE COMMUNITY COLLEGE(UB@MCC) PROGRAM,NON,,H,,,,C,,2,,2018-03-12 17:43:11.408418
P335A170129,1,,,333674,0,333674,,,,,2017-09-28,2017-10-01,2018-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,611930657,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"CITY UNIVERSITY OF NEW YORK, THE",073268849,USA,UNITED STATES,300 JAY ST,,10021,BROOKLYN                    ,047,KINGS,NY,NEW YORK,11201,1909,07,,,,USA,UNITED STATES,NY10022,BROOKLYN                    ,047,KINGS,NEW YORK,11201-1909,07,,84.335,CHILD CARE ACCESS MEANS PARENTS IN SCHOOL,04,,EARLY START AND EXTENDED HOURS: CAMPUS CHILD CARE FOR STUDENTS,NON,,H,,C,,A,,2,,2017-10-27 20:40:01.24112
R305D170024,1,,,235943.00,0.00,235943.0,0.00,,,,2017-06-15,2017-09-01,2018-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,091,"EDUCATION, DEPARTMENT OF (9100)",,,,,071050983,"TEACHERS COLLEGE, COLUMBIA UNIVERSITY","TEACHERS COLLEGE, COLUMBIA UNIVERSITY",071050983,USA,UNITED STATES,525 W 120TH ST,,,NEW YORK,061,NEW YORK,NY,NEW YORK,10027,6670,10,,,,USA,UNITED STATES,NY51000,NEW YORK,061,NEW YORK,NEW YORK,100276670,10,,84.305,"EDUCATION RESEARCH, DEVELOPMENT AND DISSEMINATION",04,,A USER-FRIENDLY TOOL FOR DESIGNING CLUSTER RANDOMIZED TRIALS WITH POWER AND RELEVANCE,NON,,20,,,,A,,2,,2017-06-23 00:00:00
P047A170291,1,,,269860.00,0.00,269860.0,0.00,,,,2017-05-30,2017-09-01,2018-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,091,"EDUCATION, DEPARTMENT OF (9100)",,,,,090189965,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE","RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",020657151,USA,UNITED STATES,4400 VESTAL PKWY E,,,BINGHAMTON,007,BROOME,NY,NEW YORK,13902,4600,22,,,,USA,UNITED STATES,NY06618,BINGHAMTON,007,BROOME,NEW YORK,139024600,22,,84.047,TRIO_UPWARD BOUND,04,,BINGHAMTON UNIVERSITY UPWARD BOUND RURAL PROGRAM,NON,,06,,,,A,,2,,2017-06-07 00:00:00
