award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_name,recipient_parent_duns,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,last_modified_date
P031S070047,0030,,SAI NOT AVAILABLE,0.00,134911.00,134911.0,0.00,,0.00,,2007-09-25,2011-10-01,2012-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,044827764,MERCY COLLEGE,MERCY COLLEGE,044827764,USA,UNITED STATES,555 BRDWY,,20698,DOBBS FERRY,119,WESTCHESTER,NY,NEW YORK,10522,1186,18,,,,USA,UNITED STATES,3620698,DOBBS FERRY,119,WESTCHESTER,NEW YORK,105221186,18,,84.031,HIGHER EDUCATION_INSTITUTIONAL AID,04,,STRENGTHENING INSTITUTIONS - HISPANIC SERVING INSTITUTIONS,NON,,05,,,,C,,2,,2011-07-20 00:00:00
P116B070065,0005,,SAI NOT AVAILABLE,0.00,2008622.00,2008622.0,0.00,,0.00,,2007-09-25,2008-01-01,2010-12-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,088497748,RFCUNY - LAGUARDIA COMMUNITY COLLEGE,"CITY UNIVERSITY OF NEW YORK, THE",073268849,USA,UNITED STATES,31-10 THOMSON AVE,,43390,LONG ISLAND CITY,081,QUEENS,NY,NEW YORK,11101,3007,14,,,,USA,UNITED STATES,3643390,LONG ISLAND CITY,081,QUEENS,NEW YORK,111013007,14,,84.116,FUND FOR THE IMPROVEMENT OF POSTSECONDARY EDUCATION,04,,COMPREHENSIVE PROGRAM,NON,,02,,,,B,,2,,2011-03-21 00:00:00
H133A060009,0010,,SAI NOT AVAILABLE,0.00,0.00,0.0,0.00,,0.00,,2007-09-28,2007-06-01,2008-10-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,002257350,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY,002257350,USA,UNITED STATES,CONTROLLERS OFFICE SKYTOP OFFICE BL,,73000,SYRACUSE,067,ONONDAGA,NY,NEW YORK,13244,0001,25,,,,USA,UNITED STATES,3673000,SYRACUSE,067,ONONDAGA,NEW YORK,132440001,25,,84.133,NATIONAL INSTITUTE ON DISABILITY AND REHABILITATION RESEARCH,04,,DISABILITY AND REHABILITATION RESEARCH PROJECTS,NON,,06,,,,D,,2,,2011-03-21 00:00:00
Q304C070005,0006,,SAI NOT AVAILABLE,0.00,0.00,0.0,0.00,,0.00,,2007-09-26,2007-10-01,2009-03-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,135504876,YONKERS CITY SCHOOL DISTRICT,YONKERS CITY SCHOOL DISTRICT,135504876,USA,UNITED STATES,1 LARKIN CENTER 3RD FL,,00000,YONKERS,000,,NY,NEW YORK,10701,7044,17,,,,USA,UNITED STATES,3600000,YONKERS,119,WESTCHESTER,NEW YORK,107017044,17,,84.304,CIVIC EDUCATION - WE THE PEOPLE AND THE COOPERATIVE EDUCATION EXCHANGE PROGRAM,04,,GRANT COMPETITION TO IMPROVE PUBLIC KNOWLEDGE OF AND SUPPORT FOR DEMOCRACY,NON,,02,,,,A,,2,,2011-06-06 00:00:00
U282A050007,0009,,SAI NOT AVAILABLE,0.00,166958.00,166958.0,0.00,,0.00,,2007-09-25,2007-08-01,2009-07-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,806782173,NEW YORK STATE EDUCATION DEPARTMENT,"NEW YORK, STATE OF",041002973,USA,UNITED STATES,89 WASHINGTON AVE,,00000,ALBANY,000,,NY,NEW YORK,12234,1000,21,,,,USA,UNITED STATES,3600000,ALBANY,001,ALBANY,NEW YORK,122341000,21,,84.282,CHARTER SCHOOLS,04,,PUBLIC CHARTER SCHOOLS,NON,,00,,,,B,,2,,2011-05-20 00:00:00
Q215S070002,0005,,SAI NOT AVAILABLE,0.00,0.00,0.0,0.00,,0.00,,2007-09-27,2010-06-01,2011-05-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,078163383,NEW YORK CITY BOARD EDUCATION,,,USA,UNITED STATES,52 CHAMBERS ST 320B4,,10011,BROOKLYN,009,CATTARAUGUS,NY,NEW YORK,11201,,10,,,,USA,UNITED STATES,3610011,BROOKLYN,047,KINGS,NEW YORK,11201,10,,84.215,FUND FOR THE IMPROVEMENT OF EDUCATION,04,,PARTNERSHIPS IN CHARACTER EDUCATION--LOCAL EDUCATIONAL AGENCY/STATE EDUCATIONAL AGENCY GRANTS,NON,,02,,,,C,,2,,2010-07-06 00:00:00
H133A060009,0009,,SAI NOT AVAILABLE,0.00,0.00,0.0,0.00,,0.00,,2007-09-28,2007-06-01,2008-10-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,002257350,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY,002257350,USA,UNITED STATES,CONTROLLERS OFFICE SKYTOP OFFICE BL,,73000,SYRACUSE,067,ONONDAGA,NY,NEW YORK,13244,0001,25,,,,USA,UNITED STATES,3673000,SYRACUSE,067,ONONDAGA,NEW YORK,132440001,25,,84.133,NATIONAL INSTITUTE ON DISABILITY AND REHABILITATION RESEARCH,04,,DISABILITY AND REHABILITATION RESEARCH PROJECTS,NON,,06,,,,B,,2,,2011-03-21 00:00:00
U361A070042,0012,,SAI NOT AVAILABLE,0.00,0.00,0.0,0.00,,0.00,,2007-09-27,2010-10-01,2011-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,103669289,NEW YORK CITY BOARD OF EDUCATION,,078163383,USA,UNITED STATES,65 COURT ST,,10011,BROOKLYN,009,CATTARAUGUS,NY,NEW YORK,11201,4916,11,,,,USA,UNITED STATES,3610011,BROOKLYN,047,KINGS,NEW YORK,112014916,11,,84.361,VOLUNTARY PUBLIC SCHOOL CHOICE,04,,VOLUNTARY SCHOOL CHOICE,NON,,02,,,,C,,2,,2010-08-05 00:00:00
U282A050007,0005,,SAI NOT AVAILABLE,0.00,166958.00,166958.0,0.00,,0.00,,2007-09-25,2007-08-01,2009-07-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,806782173,NEW YORK STATE EDUCATION DEPARTMENT,"NEW YORK, STATE OF",041002973,USA,UNITED STATES,89 WASHINGTON AVE,,01000,ALBANY,001,ALBANY,NY,NEW YORK,12234,1000,21,,,,USA,UNITED STATES,3601000,ALBANY,001,ALBANY,NEW YORK,122341000,21,,84.282,CHARTER SCHOOLS,04,,PUBLIC CHARTER SCHOOLS,NON,,00,,,,B,,2,,2011-03-21 00:00:00
P345A070001,0006,,SAI NOT AVAILABLE,0.00,418750.00,418750.0,0.00,,0.00,,2007-09-25,2007-10-01,2009-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,077722254,"NEW-YORK HISTORICAL SOCIETY, THE",,,USA,UNITED STATES,170 CENTRAL PARK W,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10024,5152,08,,,,USA,UNITED STATES,3651000,NEW YORK,061,NEW YORK,NEW YORK,100245152,08,,84.345,UNDERGROUND RAILROAD EDUCATIONAL AND CULTURAL PROGRAM,04,,UNDERGROUND RAILROAD EDUCATIONAL AND CULTURAL PROGRAMS,NON,,12,,,,B,,2,,2011-03-21 00:00:00
