award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_name,recipient_parent_duns,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,last_modified_date
P066A110241,0003,,SAI NOT AVAILABLE,342682.00,0.00,342682.0,0.00,,,,2013-08-30,2013-09-01,2014-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,057985970,GENESEE COMMUNITY COLLEGE,"NEW YORK, STATE OF",041002973,USA,UNITED STATES,1 COLLEGE RD,,04715,BATAVIA,037,GENESEE,NY,NEW YORK,14020,9704,26,,,,USA,UNITED STATES,3604715,BATAVIA,037,GENESEE,NEW YORK,140209704,26,,84.066,TRIO_EDUCATIONAL OPPORTUNITY CENTERS,04,,EDUCATIONAL OPPORTUNITY CENTERS PROGRAM,NON,,06,,,,B,,2,,2013-09-06 00:00:00
S215F130023,0001,,SAI NOT AVAILABLE,640727.00,75000.00,640727.0,0.00,,,,2013-09-30,2013-10-01,2014-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,071601991,MEXICO CENTRAL SCHOOL DISTRICT INC,MEXICO CENTRAL SCHOOL DISTRICT INC,071601991,USA,UNITED STATES,40 ACADEMY ST,,00000,MEXICO,001,ALBANY,NY,NEW YORK,13114,3010,23,,,,USA,UNITED STATES,3600000,MEXICO,075,OSWEGO,NEW YORK,131143010,23,,84.215,FUND FOR THE IMPROVEMENT OF EDUCATION,04,,CAROL M. WHITE PHYSICAL EDUCATION PROGRAM,NON,,05,,,,A,,2,,2014-03-04 00:00:00
U336S090121,0020,,SAI NOT AVAILABLE,1109185.00,0.00,1109185.0,0.00,,,,2013-09-16,2013-10-01,2014-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,064932676,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF,"CITY UNIVERSITY OF NEW YORK, THE",073268849,USA,UNITED STATES,230 W 41ST STREET FL 7,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10036,7207,14,,,,USA,UNITED STATES,3651000,NEW YORK,061,NEW YORK,NEW YORK,100367207,14,,84.336,TEACHER QUALITY PARTNERSHIP GRANTS,04,,FY 2009 TEACHER QUALITY PARTNERSHIPS GRANTS,NON,,06,,,,A,,2,,2014-03-04 00:00:00
S215F130321,0001,,SAI NOT AVAILABLE,675000.00,87667.00,675000.0,0.00,,,,2013-09-30,2013-10-01,2014-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,096192109,CITY SCHOOL DISTRICT OF NEW ROCHELLE (INC),CITY SCHOOL DISTRICT OF NEW ROCHELLE (INC),096192109,USA,UNITED STATES,515 NORTH AVE,,50617,NEW ROCHELLE,119,WESTCHESTER,NY,NEW YORK,10801,3405,18,,,,USA,UNITED STATES,3650617,NEW ROCHELLE,119,WESTCHESTER,NEW YORK,108013405,18,,84.215,FUND FOR THE IMPROVEMENT OF EDUCATION,04,,CAROL M. WHITE PHYSICAL EDUCATION PROGRAM,NON,,05,,,,A,,2,,2014-03-04 00:00:00
P047A120975,0002,,SAI NOT AVAILABLE,366570.00,0.00,366570.0,0.00,,,,2013-05-09,2013-06-01,2014-05-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,078889540,"BOYS AND GIRLS HARBOR, INC.","BOYS AND GIRLS HARBOR, INC.",078889540,USA,UNITED STATES,1 E 104TH ST FL 4,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10029,4418,14,,,,USA,UNITED STATES,3651000,NEW YORK,061,NEW YORK,NEW YORK,100294418,14,,84.047,TRIO_UPWARD BOUND,04,,UPWARD BOUND,NON,,12,,,,B,,2,,2013-05-20 00:00:00
S215F130043,0001,,SAI NOT AVAILABLE,605957.00,99000.00,605957.0,0.00,,,,2013-09-30,2013-10-01,2014-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,096309968,HOLLAND CENTRAL SCHOOL,HOLLAND CENTRAL SCHOOL,096309968,USA,UNITED STATES,103 CANADA STREET,,35111,HOLLAND,029,ERIE,NY,NEW YORK,14080,9806,27,,,,USA,UNITED STATES,3635111,HOLLAND,029,ERIE,NEW YORK,140809806,27,,84.215,FUND FOR THE IMPROVEMENT OF EDUCATION,04,,CAROL M. WHITE PHYSICAL EDUCATION PROGRAM,NON,,05,,,,A,,2,,2014-03-04 00:00:00
P044A110913,0004,,SAI NOT AVAILABLE,217971.00,0.00,217971.0,0.00,,,,2013-06-06,2013-09-01,2014-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,064932676,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF,"CITY UNIVERSITY OF NEW YORK, THE",073268849,USA,UNITED STATES,230 W 41ST STREET FL 7,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10036,7207,14,,,,USA,UNITED STATES,3651000,NEW YORK,061,NEW YORK,NEW YORK,100367207,14,,84.044,TRIO_TALENT SEARCH,04,,TALENT SEARCH PROGRAM,NON,,06,,,,B,,2,,2013-06-21 00:00:00
S215F130238,0001,,SAI NOT AVAILABLE,547829.00,87988.00,547829.0,0.00,,,,2013-09-30,2013-10-01,2014-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,043055557,QUEENSBURY UNION FREE SCHOOL,QUEENSBURY UNION FREE SCHOOL,043055557,USA,UNITED STATES,429 AVIATION RD,,60345,QUEENSBURY,113,WARREN,NY,NEW YORK,12804,2914,20,,,,USA,UNITED STATES,3660345,QUEENSBURY,113,WARREN,NEW YORK,128042914,20,,84.215,FUND FOR THE IMPROVEMENT OF EDUCATION,04,,CAROL M. WHITE PHYSICAL EDUCATION PROGRAM,NON,,05,,,,A,,2,,2014-03-04 00:00:00
P066A110306,0004,,SAI NOT AVAILABLE,217967.00,0.00,217967.0,0.00,,,,2013-08-30,2013-09-01,2014-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,064932676,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF,"CITY UNIVERSITY OF NEW YORK, THE",073268849,USA,UNITED STATES,230 W 41ST STREET FL 7,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10036,7207,14,,,,USA,UNITED STATES,3651000,NEW YORK,061,NEW YORK,NEW YORK,100367207,14,,84.066,TRIO_EDUCATIONAL OPPORTUNITY CENTERS,04,,EDUCATIONAL OPPORTUNITY CENTERS PROGRAM,NON,,06,,,,B,,2,,2013-09-06 00:00:00
S215F130221,0001,,SAI NOT AVAILABLE,328417.00,87520.00,328417.0,0.00,,,,2013-09-30,2013-10-01,2014-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,079680740,PALMYRA-MACEDON CENTRAL SCHOOL DISTRICT,PALMYRA-MACEDON CENTRAL SCHOOL DISTRICT,079680740,USA,UNITED STATES,151 HYDE PARKWAY,,56187,PALMYRA,117,WAYNE,NY,NEW YORK,14522,1235,25,,,,USA,UNITED STATES,3656187,PALMYRA,117,WAYNE,NEW YORK,145221235,25,,84.215,FUND FOR THE IMPROVEMENT OF EDUCATION,04,,CAROL M. WHITE PHYSICAL EDUCATION PROGRAM,NON,,05,,,,A,,2,,2014-03-04 00:00:00
